Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	p.adjust
0	2	0.633677393240235	5	Adipose Tissue	1
0	6	1.22696100842532	3	Adrenal Gland	1
0	0	0	3	Appendix	1
0	0	0	4	Bone Marrow	1
0	1	0.380206435944141	4	Breast	1
6.04122694656923	60	2.10936447338873	3	Cerebral Cortex	9.09437909121165e-07
0.01348115402994	6	1.98688524590164	2	Cervix, uterine	0.969435336500477
0	3	0.968450355706774	13	Colon	1
0	7	1.11236867482109	2	Duodenum	1
0	3	1.30494581828286	5	Endometrium	1
0	4	0.814728077023159	3	Esophagus	1
0	7	0.79666315292065	5	Fallopian Tube	1
0	1	0.349169175867068	3	Gallbladder	1
0.095675268824948	8	2.02277315674715	4	Heart Muscle	0.802277719201244
0	7	1.05675024108004	9	Kidney	1
0	11	1.3379302307513	10	Liver	1
0	5	1.36510289501221	9	Lung	1
0	6	1.25189924030388	5	Lymph Node	1
0	5	1.91521898703205	3	Ovary	1
0	2	1.40624298225915	2	Pancreas	1
0	2	0.285949130097265	8	Placenta	1
0	3	0.823441746296134	9	Prostate	1
0	1	0.301928640308582	4	Rectum	1
0	0	0	3	Salivary Gland	1
0	5	1.4581780923994	3	Seminal Vesicle	1
0	5	0.809587836789574	5	Skeletal Muscle	1
0	7	0.776015295825514	3	Skin	1
0	7	1.0475075276012	4	Small Intestine	1
0	2	1.15343525511144	3	Smooth Muscle	1
0	5	0.830548039683803	5	Spleen	1
0	3	0.950516089860352	4	Stomach	1
0	29	0.686898106470379	10	Testis	1
0	6	1.15343525511144	5	Thyroid Gland	1
0	3	0.88496325607688	5	Tonsil	1
0	1	0.814728077023159	2	Urinary Bladder	1
